model,fold,balanced_accuracy,fit_and_predict_seconds,train_rows,validation_rows
logistic_regression,1,0.8702278506516051,12.346975229000236,552070,138018
logistic_regression,2,0.8718776878062737,11.253429153999605,552070,138018
logistic_regression,3,0.8691547281895927,10.977993094999874,552070,138018
logistic_regression,4,0.8689691365551532,11.783170781999615,552071,138017
logistic_regression,5,0.8688210709286562,10.891536990000532,552071,138017
ridge_classifier,1,0.7801277561891302,10.42994017500041,552070,138018
ridge_classifier,2,0.7808554014888075,10.813498626000182,552070,138018
ridge_classifier,3,0.7796169443535352,10.990553850999277,552070,138018
ridge_classifier,4,0.7789292097378037,11.239303625000503,552071,138017
ridge_classifier,5,0.7808518715208489,10.940367917000003,552071,138017
sgd_logistic,1,0.849779395596336,9.673725294000178,552070,138018
sgd_logistic,2,0.8512753789956266,9.377049724000244,552070,138018
sgd_logistic,3,0.8524349998085391,9.322155806999945,552070,138018
sgd_logistic,4,0.8493413349826806,9.815648679999867,552071,138017
sgd_logistic,5,0.8497735070829177,9.255351458000405,552071,138017
